code,title,img,auth,pub
89581251,"""Are We Downhearted? No!"" (영어로 세계문학읽기 74)",http://image.yes24.com/goods/89581251/800x0,메리 로버츠 라인하트 저,책다름
93179377,"""Choice Spirits"" (영어로 세계문학읽기 584)",http://image.yes24.com/goods/93179377/800x0,W. W. 제이콥스 저,책다름
92820116,"""Government Goat"" (영어로 세계문학읽기 449)",http://image.yes24.com/goods/92820116/800x0,수전 글래스펠 저,책다름
90864541,"""My Son's Wife"" (영어로 세계문학읽기 216)",http://image.yes24.com/goods/90864541/800x0,러디어드 키플링 저,책다름
89987269,"""O Russet Witch!"" (영어로 세계문학읽기 121)",http://image.yes24.com/goods/89987269/800x0,F. 스콧 피츠제럴드 저,책다름
93179410,"""Out There"" (영어로 세계문학읽기 567)",http://image.yes24.com/goods/93179410/800x0,수전 글래스펠 저,책다름
92820059,"""Out of Thun"" (영어로 세계문학읽기 465)",http://image.yes24.com/goods/92820059/800x0,로버트 바 저,책다름
93398443,"""Pinched"" (영어로 세계문학읽기 650)",http://image.yes24.com/goods/93398443/800x0,잭 런던 저,책다름
92459224,"""They"" (영어로 세계문학읽기 399)",http://image.yes24.com/goods/92459224/800x0,러디어드 키플링 저,책다름
91003745,"""Wireless"" (영어로 세계문학읽기 249)",http://image.yes24.com/goods/91003745/800x0,러디어드 키플링 저,책다름
93738689,"""Yah! Yah! Yah!"" (영어로 세계문학읽기 759)",http://image.yes24.com/goods/93738689/800x0,잭 런던 저,책다름
83544482,"'검은 고양이, 어셔 가의 몰락' 외 애드거 앨런 포 23편 모음 2집(The Works of Edgar Allan Poe, Volume 2) - 고품격 시청각 영문판",http://image.yes24.com/momo/TopCate0001/kepub/L_1107797.jpg,에드거 앨런 포(Edgar Allan Poe) 저,유페이퍼
83544485,"'까마귀' 외 애드거 앨런 포 시집 모음 5집(The Works of Edgar Allan Poe, Volume 5) - 고품격 시청각 영문판",http://image.yes24.com/momo/TopCate0001/kepub/L_1107800.jpg,에드거 앨런 포(Edgar Allan Poe) 저,유페이퍼
83544483,"'낸터킷의 아서 고든 핌의 이야기' 외 애드거 앨런 포 7편 모음 3집(The Works of Edgar Allan Poe, Volume 3) - 고품격 시청각 영문판",http://image.yes24.com/momo/TopCate0001/kepub/L_1107798.jpg,에드거 앨런 포(Edgar Allan Poe) 저,유페이퍼
83544481,"'모르그 가의 살인' 외 애드거 앨런 포 8편 모음 1집(The Works of Edgar Allan Poe, Volume 1) - 고품격 시청각 영문판",http://image.yes24.com/momo/TopCate0001/kepub/L_1107796.jpg,에드거 앨런 포(Edgar Allan Poe) 저,유페이퍼
32382694,(소파) 방정환 동화집 1 (한국인이 가장 좋아하는 동화),http://image.yes24.com/momo/TopCate0001/kepub/L_534860.jpg,(소파) 방정환 저,u-paper(유페이퍼)
32382699,(소파) 방정환 미담/설화집 5 (한국인이 가장 좋아하는 동화),http://image.yes24.com/momo/TopCate0001/kepub/L_534864.jpg,(소파) 방정환 저,u-paper(유페이퍼)
32382695,(소파) 방정환 번한 동화집 2 (한국인이 가장 좋아하는 동화),http://image.yes24.com/momo/TopCate0001/kepub/L_534861.jpg,(소파) 방정환 저,u-paper(유페이퍼)
32382700,(소파) 방정환 소년소설 6 (한국인이 가장 좋아하는 단편소설),http://image.yes24.com/momo/TopCate0001/kepub/L_534865.jpg,(소파) 방정환 저,u-paper(유페이퍼)
32382697,(소파) 방정환 야설집 4 (한국인이 가장 좋아하는 동화),http://image.yes24.com/momo/TopCate0001/kepub/L_534863.jpg,(소파) 방정환 저,u-paper(유페이퍼)
